Ambient light color: Red=1 Green=1 Blue=1

Named object: "ARAK-AFT-L"
Tri-mesh, Vertices: 866     Faces: 1728
Vertex list:
Vertex 0:  X:-1.10261	Y:1.80099	Z:0.0408326
Vertex 1:  X:-1.10022	Y:1.80398	Z:0.0581797
Vertex 2:  X:-1.09398	Y:1.80277	Z:0.0569795
Vertex 3:  X:-1.09952	Y:1.79936	Z:0.0349337
Vertex 4:  X:-1.09778	Y:1.80747	Z:0.0891553
Vertex 5:  X:-1.09023	Y:1.80572	Z:0.0888967
Vertex 6:  X:-1.08616	Y:1.80164	Z:0.0889198
Vertex 7:  X:-1.09066	Y:1.79955	Z:0.0560198
Vertex 8:  X:-1.09704	Y:1.79655	Z:0.0326429
Vertex 9:  X:-1.09768	Y:1.78996	Z:0.0442251
Vertex 10:  X:-1.09667	Y:1.79302	Z:0.0369121
Vertex 11:  X:-1.09047	Y:1.79515	Z:0.0590921
Vertex 12:  X:-1.09394	Y:1.79009	Z:0.0620631
Vertex 13:  X:-1.08576	Y:1.79611	Z:0.0910033
Vertex 14:  X:-1.08973	Y:1.78975	Z:0.0929712
Vertex 15:  X:-1.08217	Y:1.78641	Z:0.184651
Vertex 16:  X:-1.08596	Y:1.78861	Z:0.134149
Vertex 17:  X:-1.08184	Y:1.79613	Z:0.133386
Vertex 18:  X:-1.07808	Y:1.79513	Z:0.184462
Vertex 19:  X:-1.08249	Y:1.8029	Z:0.132589
Vertex 20:  X:-1.07915	Y:1.80318	Z:0.184319
Vertex 21:  X:-1.09404	Y:1.81271	Z:0.184365
Vertex 22:  X:-1.08469	Y:1.80942	Z:0.184271
Vertex 23:  X:-1.08735	Y:1.80798	Z:0.131881
Vertex 24:  X:-1.09586	Y:1.81041	Z:0.131384
Vertex 25:  X:-1.13314	Y:1.78868	Z:0.0414782
Vertex 26:  X:-1.1363	Y:1.78943	Z:0.0589427
Vertex 27:  X:-1.12883	Y:1.79443	Z:0.0562448
Vertex 28:  X:-1.12702	Y:1.79164	Z:0.0345086
Vertex 29:  X:-1.13934	Y:1.7907	Z:0.0900342
Vertex 30:  X:-1.13086	Y:1.79687	Z:0.0882847
Vertex 31:  X:-1.11986	Y:1.80217	Z:0.0868987
Vertex 32:  X:-1.11923	Y:1.79886	Z:0.0538698
Vertex 33:  X:-1.11833	Y:1.79544	Z:0.0309302
Vertex 34:  X:-1.10931	Y:1.79878	Z:0.0341341
Vertex 35:  X:-1.10916	Y:1.80236	Z:0.055829
Vertex 36:  X:-1.10823	Y:1.806	Z:0.0878062
Vertex 37:  X:-1.10745	Y:1.80925	Z:0.131224
Vertex 38:  X:-1.10652	Y:1.81191	Z:0.184512
Vertex 39:  X:-1.12018	Y:1.80529	Z:0.131358
Vertex 40:  X:-1.12009	Y:1.80785	Z:0.184806
Vertex 41:  X:-1.14221	Y:1.79328	Z:0.185384
Vertex 42:  X:-1.13267	Y:1.80136	Z:0.185065
Vertex 43:  X:-1.13209	Y:1.79931	Z:0.131745
Vertex 44:  X:-1.14123	Y:1.7921	Z:0.132344
Vertex 45:  X:-1.1289	Y:1.77736	Z:0.0448853
Vertex 46:  X:-1.13104	Y:1.77512	Z:0.0628476
Vertex 47:  X:-1.13715	Y:1.77631	Z:0.0600793
Vertex 48:  X:-1.13202	Y:1.77875	Z:0.0376597
Vertex 49:  X:-1.1327	Y:1.77241	Z:0.0938799
Vertex 50:  X:-1.14004	Y:1.7742	Z:0.0921511
Vertex 51:  X:-1.14366	Y:1.77844	Z:0.0901357
Vertex 52:  X:-1.14018	Y:1.77958	Z:0.0570669
Vertex 53:  X:-1.13436	Y:1.78149	Z:0.0334322
Vertex 54:  X:-1.13444	Y:1.78527	Z:0.0356722
Vertex 55:  X:-1.13999	Y:1.78421	Z:0.0579524
Vertex 56:  X:-1.14358	Y:1.7842	Z:0.0900247
Vertex 57:  X:-1.14565	Y:1.78446	Z:0.133113
Vertex 58:  X:-1.14666	Y:1.78441	Z:0.185581
Vertex 59:  X:-1.1456	Y:1.77744	Z:0.133923
Vertex 60:  X:-1.14631	Y:1.77608	Z:0.185739
